"fips","name","votes","absentee_votes","reporting","precincts","absentee_method","eevp","tot_exp_vote","eevp_value","eevp_display","eevp_source","turnout_stage","absentee_count_progress","absentee_outstanding","absentee_max_ballots","provisional_outstanding","provisional_count_progress","results_trumpd","results_bidenj","results_jorgensenj","results_write_ins","results_absentee_trumpd","results_absentee_bidenj","results_absentee_jorgensenj","results_absentee_write_ins","last_updated","leader_margin_value","leader_margin_display","leader_margin_name_display","leader_party_id","margin2020","votes2016","margin2016","votes2012","margin2012","state","retrieved_time","results_venturaj","results_blankenshipd","results_pierceb","results_de_la_fuenter","results_absentee_venturaj","results_absentee_blankenshipd","results_absentee_pierceb","results_absentee_de_la_fuenter","results_la_rivag","results_collinsp","results_westk","results_hawkinsh","results_gammonc","results_carrollb","results_myersj","results_absentee_la_rivag","results_absentee_collinsp","results_absentee_westk","results_absentee_hawkinsh","results_absentee_gammonc","results_absentee_carrollb","results_absentee_myersj","results_hammonsb","results_charlesm","results_kopitkek","results_mchughj","results_jacob_fambrop","results_hunterd","results_huberb","results_kennedya","results_scottj","results_kishorej","results_absentee_hammonsb","results_absentee_charlesm","results_absentee_kopitkek","results_absentee_mchughj","results_absentee_jacob_fambrop","results_absentee_hunterd","results_absentee_huberb","results_absentee_kennedya","results_absentee_scottj","results_absentee_kishorej","results_kingr","results_absentee_kingr","results_simmonsj","results_boddiep","results_hoeflingt","results_absentee_simmonsj","results_absentee_boddiep","results_absentee_hoeflingt","results_segalj","results_absentee_segalj","results_none_of_these_candidates","results_absentee_none_of_these_candidates","results_tittles","results_absentee_tittles","results_paigeh","results_lafontainec","results_duncanr","results_mccormick","results_swingg","results_scalfz","results_absentee_paigeh","results_absentee_lafontainec","results_absentee_duncanr","results_absentee_mccormick","results_absentee_swingg","results_absentee_scalfz"
1001,"Autauga",27639,0,19,19,"Released as a precinct as first report of the night",100,25781,">98%",">98% reported","edison",2,"unknown",NA,1896,NA,NA,19764,7450,346,79,0,0,0,0,"2020-11-16T15:47:38Z",44.55299,"R+45","Trump +45","republican",44.55299,24973,49,23973,45.95,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,"Baldwin",108945,0,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,106641,">98%",">98% reported","edison",4,"some",NA,6293,NA,NA,83055,24344,1221,325,0,0,0,0,"2020-11-16T15:47:42Z",53.8905,"R+54","Trump +54","republican",53.8905,95215,57.2,85491,55.67,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,"Barbour",10457,0,15,17,"Released as a precinct as first report of the night",100,10457,">98%",">98% reported","edison",6,"all",NA,1554,NA,NA,5605,4772,68,12,0,0,0,0,"2020-11-16T15:47:43Z",7.96596,"R+8","Trump +8","republican",7.96596,10469,5.6,11517,-3.14,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,"Bibb",9573,571,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9104,">98%",">98% reported","edison",2,"some",NA,410,NA,NA,7508,1982,73,10,352,215,4,0,"2020-11-16T15:47:44Z",57.72485,"R+58","Trump +58","republican",57.72485,8819,55.2,8420,46.67,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,"Blount",27459,0,24,25,"As a precinct in the FIRST cumulative report, along with regular precincts",100,27459,">98%",">98% reported","edison",6,"all",NA,1181,NA,NA,24595,2627,209,28,0,0,0,0,"2020-11-16T15:47:44Z",80.00291,"R+80","Trump +80","republican",80.00291,25588,80.9,24060,73.93,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,"Bullock",4603,0,14,16,"Released as a precinct as first report of the night",100,4603,">98%",">98% reported","edison",6,"none",NA,557,NA,NA,1143,3439,19,2,0,0,0,0,"2020-11-16T15:47:44Z",49.88051,"D+50","Biden +50","democrat",-49.88051,4710,-50.7,5322,-52.8,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,"Butler",9466,1053,22,23,"Released as a precinct as first report of the night",100,9466,">98%",">98% reported","edison",6,"all",NA,4735,NA,NA,5448,3953,59,6,429,616,8,0,"2020-11-16T15:47:45Z",15.79337,"R+16","Trump +16","republican",15.79337,8732,13.5,9502,7.5,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,"Calhoun",50743,0,43,45,"Released with cumulative results periodically election night",100,49412,">98%",">98% reported","edison",2,"unknown",NA,1917,NA,NA,34964,15118,548,113,0,0,0,0,"2020-11-16T15:47:46Z",39.11081,"R+39","Trump +39","republican",39.11081,47864,41,46364,31.85,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,"Chambers",15269,0,21,21,"Released as a precinct as first report of the night",100,15083,">98%",">98% reported","edison",2,"unknown",NA,883,NA,NA,8748,6356,140,25,0,0,0,0,"2020-11-16T15:47:46Z",15.66573,"R+16","Trump +16","republican",15.66573,13900,14.8,14629,5.16,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,"Cherokee",12275,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,12275,">98%",">98% reported","edison",6,"all",NA,800,NA,NA,10562,1619,82,12,0,0,0,0,"2020-11-16T15:47:47Z",72.8554,"R+73","Trump +73","republican",72.8554,10733,69,9792,54.88,"alabama","2020-11-20T00:43:52.497969Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
